Total Return (%),CAGR (%),Sharpe Ratio,Calmar Ratio,Volatility (%),Max Drawdown (%),Trade Count,Win Rate (%),Max Consecutive Losses,Ticker
6.7,0.93,0.19,0.01,31.34,76.75,9,22.22,4,AAPL
155.45,14.33,0.66,0.49,29.4,29.03,9,44.44,2,MSFT
107.78,11.01,0.53,0.21,31.37,51.42,9,22.22,6,GOOG
